№ проекта|№ в ERP:|Отдел|Статус|Дата(КД)|Лазер|Н/час сб.|Этап|кол-во|Отгр.|Вес|Сост.|
1907184|ПУ00-000442|КТ|отгружено|01.10.2019|л|35||1|13.11.2019|660||1907184-442`0`1`13.11.2019
1904001|ПУ00-000478|КТ|отгружено|25.10.2019|л|63||1|15.11.2019|250||1904001-478`0`1`
1507046.2|ПУ00-000502|КТМ|отгружено|11.11.2019|л|189||4|28.11.2019|2260|04 поз.; 05 поз.|1507046-502(04)`0`1`
1910151|ПУ00-000528|КЛ|отгружено|21.11.2019|л|65||2|28.11.2019|612||1910151-528`0`1`
ПН.19.002|Отдел технолога\В работе\ЗАКАЗЫ без ERP\ПН.19.002 Роликовый упор|ПР|отгружено|06.11.2019|л|8||1|29.11.2019|45|З+ Спецификация в ЕРПИ – код 00-006244.|
1904013РП|ПУ00-000511|РТ|отгружено|11.11.2019|л|16|?|7|29.11.2019|62|АР320КНС|
1907081|ПУ00-000462|ШГ|отгружено|29.10.2019|л|94||2|29.11.2019|3400|предварительная заявка|1907081-462`0`1`
1304007|ПУ00-000505|КТ|отгружено|11.11.2019|л|4||3|29.11.2019|129|04 поз.|1304007-505`0`1`
1908104|ПУ00-000439|ШГ|отгружено|30.10.2019|л|330||6|02.12.2019|5088||1908104-439`0`1`
1810040|ПУ00-000554|КЛ|отгружено|06.12.2019|лг?|0||1|06.12.2019|6|З+ |1810040-554`0`1`
1908203|ПУ00-000516|КЛ|отгружено|18.11.2019|л|32||1|06.12.2019|886||1908203-516`5,33449074074072E-03`0,98`25.12.2019 15:44:18
1908203|ПУ00-000483|ЛК|отгружено|21.11.2019|л|402||33|06.12.2019|4849||1908203-483`0`1`
1903130|ПУ00-000468|ШГ|отгружено|22.10.2019|л|114||2|09.12.2019|2660||1903130-468`0,736108796296296`0,17`26.11.2019 15:08:23
1805118|ПУ00-000518|ЛК|отгружено|19.11.2019|л|16||1|09.12.2019|90||1805118-518`0`1`
1907115|ПУ00-000533|КТ|отгружено|28.11.2019|л|38||14|10.12.2019|1630|все до 30.12.19 первую очередь прошу отдавать модули.|1907115-533`0`1`
1907197|ПУ00-000447|ШГ|отгружено|23.10.2019|л|173||2|10.12.2019|860||1907197-447`0`1`
1712060|ПУ00-000527|КТ|отгружено|21.11.2019|л|414|?|84|10.12.2019|10200||1712060-527`0`1`
Подставка для рихтовочной плиты|Отдел технолога\В работе\ЗАКАЗЫ без ERP\Подставка для рихтовочной плиты|ПР|отгружено|27.11.2019|н|2||1|5.12.2019|40|З+ |
1204113.3|ПУ00-000572|КТ|отгружено|12.12.2019||2|?|4|12.12.2019|10|кольца|
1507046.2|ПУ00-000566|КТ|отгружено|12.12.2019|н|16||2|12.12.2019|271|рама|
1906185|ПУ00-000536|КТ|отгружено|28.11.2019|л|27&||18|12.12.2019|1680&| Конструктора по этому проекту ответили, что очень постараются к 27.11, но могут на пару дней опоздать-крайний срок выдачи РКД до 29.11. Поэтому, если потребуется , то вечерите, но до 12.12 нужно успеть.|1906185-536`0`1`
1507029|ПУ00-000507|КТ|отгружено|11.11.2019|л|15||5|03.12.2019|163|5,6,10,11,38|1507029-507`0`1`
Корпус|Отдел технолога\В работе\ЗАКАЗЫ без ERP\ремонт лазера корпус|ПР|отгружено|06.12.2019|н|0,01||1|13.12.2019|1|срочно|
1905178|ПУ00-000314|КЛ|отгружено|14.11.2019|о|164|?|8|13.12.2019|2700|Проект экспортный – просрочка недопустима!!!|1905178-314``0`16.12.2019 12:27:57
1601001|ПУ00-000404|КТ|отгружено|11.11.2019|л|310||12|13.12.2019|16590|Заказ на производство старый, этапы уже в нём созданы, папку корректную создала, чертежи актуальные в папке. |1601001-404`0`1`
Газоходы|Отдел технолога\В работе\ЗАКАЗЫ без ERP\пробник|ПР|отгружено|12.12.2019|л|1||1|14.12.2019|20||
ПН.19.025|Оборудование Пауэрз\Линзовый станок\ПН.19.025|ПР|отгружено|17.10.2019|л|24||1|15.12.2019|396|Рама для рем. вальц. линзы|
1910117-1|ПУ00-000519|КТ|отгружено|20.11.2019|л|0|?|4|15.12.2019|10||1910117-519`0`1`
1204113.2|ПУ00-000489|КТ|отгружено|29.10.2019|л|1|?|1|29.11.2019|100||1204113-489`0`1`
1204113|ПУ00-000488|КТ|отгружено|29.10.2019|л|3|?|3|29.11.2019|146||1204113-488`0`1`
1907048|ПУ00-000484|КЛ|отгружено|26.11.2019|л|261||8|15.12.2019|1610|З+ |1907048-484`0`1`
1806039|ПУ00-000541|КТ|отгружено|2.12.2019|л|170|?|3|15.12.2019|3849|.02 С этим проектом прошу больше сроки не сдвигать.ПКК сообщить когда этот проект на сборку возьмем в работу.|1806039-541`0`1`
1909166|ПУ00-000540|КТ|отгружено|02.12.2019|л|3||3|16.12.2019|252||1909166-540`0`1`
1603107|ПУ00-000487|КТ|отгружено|29.10.2019|о|2||8|11.12.2019|64||1603107-487`6,83298611111111E-02`0`23.11.2019 15:32:57
1404238|ПУ00-000491|КТ|отгружено|29.10.2019|л|46||1|11.12.2019|165||1404238-491`0`1`
1507046.3|ПУ00-000506|КТМ|отгружено|11.11.2019|л|151|?|4|16.12.2019|2056|02 поз|1507046-506`0`1`
1910151|ПУ00-000495|ЛК|отгружено|18.11.2019|л|29||1|16.12.2019|80|  линза ПГВУ
|1910151-495`0`1`
1909180|ПУ00-000480|АО|отгружено|23.11.2019|л|164||2|16.12.2019|2700|нужно кровь из носа сделать в указанный срок, при необходимости будем согласовывать переработки|1909180-480``0`16.12.2019 21:53:10
1903077|ПУ00-000482|КЛ|отгружено|21.11.2019|л|80||3|16.12.2019|1485||1903077-482`0`1`
1812080|ПУ00-000534|ЛК|отгружено|23.11.2019|л|105|?|8|16.12.2019|900||1812080-534`0`1`
АСО-ПГ Опытный (ограничитель)|Отдел технолога\В работе\ЗАКАЗЫ без ERP\АСО-ПГ Опытный (ограничитель)|АО|отгружено|11.12.2019|н|0,1||1|18.12.2019|0,1|см письмо Вт 10.12.2019 16:32|
АР230КНС.ПЗ ПУ545|Отдел технолога\В работе\АР230КНС.ПЗ|РТ|отгружено|04.12.2019|л|7||1|20.12.2019|175|З+ АР230КНС|
1907146|ПУ00-000461|КЛ|отгружено|15.11.2019|л|29||2|20.12.2019|150||1907146-461`1,96064814814816E-03`0,98`10.01.2020 11:58:43
1812076|ПУ00-000068|АО|отгружено|25.11.2019|л|240||36|20.12.2019|7182|З+ По проекту 1812076 начинаем выдачу документации. Постараемся выдавать крупными партиями, но сейчас Ковалев требует быстрее, поэтому пока во вложении то, что готово.|1911051-068`0`1`
1908068|ПУ00-000526|КТ|отгружено|22.11.2019|л|71|?|2|22.12.2019|1146||1908068-526`0`1`
1805124|ПУ00-000531|КТ|отгружено|23.11.2019|л|2||16|22.12.2019|192||1805124-531`0`1`
1606042|ПУ00-000581|КТ|отгружено|23.12.2019|н|2||1|23.12.2019|192||
1710033|ПУ00-000543|КТ|отгружено|04.12.2019|р|70|?|3|23.12.2019|1464||1710033-543`0,130612268518519`0,74`21.01.2020 21:45:48
1904001|ПУ00-000542|КТ|отгружено|04.12.2019|лг?|12||1|23.12.2019|250||1904001-542`0`1`
1507029 - 1|ПУ00-000517|ПР|отгружено|19.11.2019|л|104|?|1|23.12.2019|1286|ТЕЧКА|1507029-517`0`1`
1907225|ПУ00-000522|ГГ|отгружено|2.12.2019|л|8||2|23.12.2019|130||1907225-522`0`1`
1804038|ПУ00-000469|ШГ|отгружено|29.10.2019|л|785||11|23.12.2019|14547|З+ криоген|038-0469``1`
1310143|ПУ00-000537|КТ|отгружено|28.11.2019|л|22|?|15|23.12.2019|824||1310143-537`0`1`
1309167|ПУ00-000508|КТ|отгружено|11.11.2019|о|0,1||12|20.12.2019|1|06 - защита|1309167-508``0`14.11.2019 8:14:35
1606042|ПУ00-000563|КТ|отгружено|13.12.2019|л|24||1|25.12.2019|470||1606042-563`0`1`
1808027|ПУ00-000532|КТ|отгружено|21.11.2019|л|12||24|26.12.2019|1008| подписан / переделка металлоарматуры с неверными размерами|1808027-532`0`1`
1806039|ПУ00-000591|КТ|отгружено|26.12.2019|л|340|?|3|27.12.2019|13032|ПКК сообщить когда этот проект на сборку возьмем в работу.|1806039-591`3,76851851851923E-03`1`07.02.2020 19:55:58
1812076|ПУ00-000602|АО|к производству|14.02.2020|л|476||90|25.01.2020|13870|З+ |03.03.2020`29.12.2020
рабочий штамп линз|Отдел технолога\В работе\ЗАКАЗЫ без ERP\рабочий штамп линз|ПР|к производству|28.02.2020|л|24&||3|04.03.2020|135&|З+ |03.03.2020`30.06.2020
1601001|ПУ00-000093|КТМ|к производству|10.03.2020|л|475,8||14|13.04.2020|21868||20.04.2020`18.12.2020
1806039|ПУ00-000207|КТМ|отгружено|03.06.2020|л|1083&||9|26.08.2020|39996&|поз.1ПКК сообщить когда этот проект на сборку возьмем в работу.|03.08.2020`04.09.2020
ПН.20.058|Отдел технолога\В работе\ЗАКАЗЫ без ERP\ПН.20.058 стеллаж для келаста|ПР|к производству|01.10.2020|л|18&||1|15.10.2020|427&|З+ |28.12.2020`30.12.2020
1812076|ПУ00-000158|АО|отгружено|17.04.2020|л|40&||12|30.04.2020|358&|З+ З+ переходы|29.10.2020`10.11.2020
1601001|ПУ00-000574|КТ|отгружено|17.12.2019|н|64|?|8|13.01.2020|2674||
1812032|ПУ00-000497|ШГ|отгружено|18.11.2019|л|106|?|2|31.12.2019|1662||1812032-497`0`1`
1804131|ПУ00-000457|ШГ|отгружено|21.11.2019|л|86|?|3|31.12.2019|1152||1804131-457`0`1`
1112097|ПУ00-000580|КТ|отгружено|20.12.2019|л|5|?|2|09.01.2020|22||1112097-580`0`1`
1710033|ПУ00-000578|КТ|отгружено|19.12.2019|р|11|?|2|09.01.2020|580||1710033-578`9,63773148148148E-03`0,95`31.01.2020 15:53:27
1908165|ПУ00-000568|АО|отгружено|27.12.2019|л|8|?|3|09.01.2020|240|З+  З+Детали установки аппаратов паровой очистки трубного пучка экономайзера 1.1-1.7 на монтажеПКК сообщить когда этот проект на сборку возьмем в работу.|1908165-568`0`1`
1710033|ПУ00-000565|КТ|отгружено|11.12.2019|л|11|?|1|09.01.2020|656||1710033-565`0`1`
1906113|ПУ00-000556|КТ|отгружено|09.12.2019|р|11||4|09.01.2020|137||1906113-556`1,19930555555556E-02`0,88`14.01.2020 7:33:42
1906116|ПУ00-000544|КТ|отгружено|04.12.2019|л|19||8|09.01.2020|592||1906116-544`0`1`
1907115|ПУ00-000594|КТ|отгружено|30.12.2019|л|24||1|10.01.2020|645||1907115-594`0`1`
АСО.КО.005.00|Отдел технолога\В работе\ЗАКАЗЫ без ERP\АСО.КО.005.00|ПР|отгружено|25.12.2019|н|0||1|13.01.2020|1|З+ Необходимо изготовить обратный клапан новой конструкции для проведения испытаний на работоспособность данного изделия. Чертежи прилагаю.|
1909171|ПУ00-000521|ГГ|отгружено|25.12.2019|р|117||4|13.01.2020|1880|З+ . гос оборон заказу не позднее 14 февраля. |1909171-521`1,08472222222222E-02`0,97`07.02.2020 13:22:00
1405143|ПУ00-000538|КТ|отгружено|02.12.2019|л|10|?|20|13.01.2020|2346||1405143-538`9,80324074074075E-02`0,92`14.01.2020 12:16:02
1911140|ПУ00-000597|КТ|отгружено|30.12.2019|л|36|?|2|20.01.2020|1178||1911140-597`0`1`
1604103|ПУ00-000553|КТ|отгружено|06.12.2019|л|8||1|14.01.2020|163||1604103-553`0`1`
1909116|Отдел технолога\В работе\ЗАКАЗЫ без ERP\1909116 газоходы|ПР|отгружено|09.01.2020|л|2||1|15.01.2020|100||
Камера ПН.19.046|Отдел технолога\В работе\ЗАКАЗЫ без ERP\Камера ПН.19.046|ПР|отгружено|26.12.2019||0,5||1|17.01.2020|2|З+ Необходимо изготовить камеру ПН.19.046 для испытания сварных швов сопла Вентури на прочность. Чертежи и файлы для резки прилагаю. Марка материала деталей для изготовления: ст3сп5, ст20, 09Г2С.|
1906009|ПУ00-000509|КЛ|отгружено|20.12.2019|л|80&||4|17.01.2020|2192&|З+  Срыв срока даже на 1 день не допускается, так как получим большой штраф. |1906009-509`0`1`
ПН.20.061|Отдел технолога\В работе\ЗАКАЗЫ без ERP\ПН.20.061 Испытательный стенд|ПР|к производству|13.10.2020|л|2&||1|20.10.2020|46&|З+ |20.10.2020`28.12.2020
ПН.19.026|Отдел технолога\В работе\ЗАКАЗЫ без ERP\Стойка ПН.19.026|ПР|отгружено|16.01.2020||3||1|23.01.2020|49&|З+ По просьбе Анастасии Маловой прошу изготовить стойку для прутков для сварки. Ранее делали такую же стойку для шпилек.|
1509101|ПУ00-000012|КТ|отгружено|28.01.2020|н|3||3|24.01.2020|5||
опоры для упаковки двух компенсаторов по проекту ЛК.1908203|Отдел технолога\В работе\ЗАКАЗЫ без ERP\опоры для упаковки двух компенсаторов по проекту ЛК.1908203|ПР|отгружено|22.01.2020|н|28&||4|24.01.2020|464&|З+ |
Центратор для АО|Отдел технолога\В работе\ЗАКАЗЫ без ERP\Центратор для АО|ПР|отгружено|17.01.2020|н|1||1|25.01.2020|1||
1409206|ПУ00-000575|КТ|отгружено|17.12.2019|л|8|?|3|28.01.2020|926||1409206-575`0`1`
1803062|ПУ00-000577|ЛК|отгружено|17.12.2019|л|8|?|2|27.01.2020|44|З+ |1803062-577`0`1`
1707065|ПУ00-000587|КТ|отгружено|26.12.2019|р|2||2|29.01.2020|756|0,09|1707065-587`3,58900462962963E-02`0,85`07.02.2020 20:47:39
АСО.КМ.001 Опытный образец маятника |Отдел технолога\В работе\ЗАКАЗЫ без ERP\АСО.КМ.001 Опытный образец маятника |ПР|отгружено|24.01.2020|н|||1|30.01.2020|1|З+ |
1807105|ПУ00-000535|ШГ|отгружено|13.12.2019|л|42|?|2|31.01.2020|650&|З+ |1807105-535`0`1`
ПН.20.056|Отдел технолога\В работе\ЗАКАЗЫ без ERP\стеллаж для производства Пауэрз|ПР1|к производству|15.10.2020|л|33&||1|22.10.2020|2168&|З+ |26.10.2020`30.10.2020
1908171|ПУ00-000560|КЛ|отгружено|6.2.2020|л|40&||2|01.02.2020|150&|З+ |1908171-560`0`1`
Стеллаж для прутков из бронзы|Отдел технолога\В работе\ЗАКАЗЫ без ERP\Стеллаж для прутков из бронзы|ПР|отгружено|21.01.2020||8||1|01.02.2020|154|З+ По просьбе Анастасии Маловой разработан стеллаж для прутков из бронзы. Прошу взять в работу.|
штамповка линз|Отдел технолога\В работе\ЗАКАЗЫ без ERP\штамповка линз|ПР|отгружено|28.01.2020|л|1||1|2.02.2020|33|З+ |
1912021|ПУ00-000018|КЛ|отгружено|27.2.2020|л|8&||2|02.02.2020|42&|З+ |1912021-018`0`1`
ПН.20.004 СБ Выставочный стенд|Отдел технолога\В работе\ЗАКАЗЫ без ERP\ПН.20.004 СБ Выставочный стенд|ПР|отгружено|27.01.2020|л|0,5||1|04.02.2020|1|З+ З+ |
1808019|ПУ00-000559|КЛ|отгружено|20.01.2020|о|377&||4|04.02.2020|4520&|З+ |1808019-559``0`
1801105|ПУ00-000014|КТ|отгружено|17.01.2020|л|5|?|2|10.02.2020|54&||1801105-014`0`1`
2001170|ПУ00-000040|ПР|отгружено|31.01.2020|л|0||9|05.02.2020|153&|З+ |2001170-040`0`1`
Транспортировка щита В1-19-3|Отдел технолога\В работе\ЗАКАЗЫ без ERP\Транспортировка щита В1-19-3|ПР|отгружено|03.02.2020|н|11&||1|07.02.2020|186&|З+ для газоходов Кирсановского сахарного завода. Количество – 1 шт.|
1911140|ПУ00-000011|КТ|отгружено|15.01.2020|л|37||6|10.02.2020|740&||1911140-011`0`1`
1405143|ПУ00-000593|КТ|отгружено|30.12.2019|н|13||3|10.02.2020|263&||
1405143|ПУ00-000586|КТ|отгружено|26.12.2019|р|129||3|10.02.2020|3696|0,25|1405143-586`0,081659722222222`0,94`02.03.2020 17:23:50
1909061|ПУ00-000573|ШГ|отгружено|13.1.2020|л|96||5|10.02.2020|652&|З+ |1909061-573`0`1`
1910175|ПУ00-000555|ГГ|отгружено|17.01.2020|л|147&||4|10.02.2020|1170|З+ крепежом улитку с ответными трубами с фланцами. А также целесообразно варить эти накладки обратноступенчатым методом. Крепеж для стягивания применить не проектного диаметра, а меньший – М12.
|1910175-555`0`1`
1310168|ПУ00-000023|КТ|отгружено|23.01.2020|л|14&||2|14.02.2020|286&||1310168-023`0`1`
1808121|ПУ00-000592|КТ|отгружено|30.12.2019|л|135||13|14.02.2020|4785||1808121-592`0`1`
1210098|ПУ00-000585|КТ|отгружено|25.12.2019|л|0||178|14.02.2020|9748||1210098-585``0,35`02.03.2020 15:26:14
1910052|ПУ00-000579|ШГ|отгружено|13.1.2020|л|16&||1|14.02.2020|94&|З+ |1910052-579`0`1`
1907222|ПУ00-000006|КТ|отгружено|13.01.2020|л|4||3|14.02.2020|1078||
1910089|ПУ00-000546|АО|отгружено|18.02.2020|л|800&||24|20.02.2020|17040&|З+ `Пост 11ПКК сообщить когда этот проект на сборку возьмем в работу.|089-0546``1`
1906116|ПУ00-000038|КТМ|отгружено|31.01.2020|л|251||26|17.02.2020|4733||1909116-038``0`02.03.2020 15:26:14
1212020|ПУ00-000037|КТ|отгружено|31.01.2020|р|2||1|17.02.2020|160||1212020-037`4,21412037037037E-02`0,35`11.03.2020 13:22:35
1808069|ПУ00-000020|ЛК|отгружено|21.01.2020|л|54&||2|19.02.2020|410&|З+ |1808069-020`0`1`
1911034|ПУ00-000002|КЛ|отгружено|04.03.2020|л|95||1|19.02.2020|1416|З+ |
1912058|ПУ00-000584|ШГ|отгружено|15.1.2020|л|8&||1|19.02.2020|169&|З+ |1912058-584`0`1`
ТППР.2019.022|Отдел технолога\В работе\ТППР.2019.022|ПР|отгружено|13.02.2020|л|0||14|20.02.2020|0|З+ |
1911055|ПУ00-000061|КЛ|отгружено|14.2.2020|л|190||6|20.02.2020|6772|З+ |1911055-061`2,20720601851852`0`23.03.2020 2:57:15
1811028|ПУ00-000047|КТ|отгружено|05.02.2020|л|61||6|20.2.2020|810||1811028-047`1,27314814815094E-05`1`10.03.2020 16:56:57
1808121|ПУ00-000010|КТ|отгружено|14.01.2020|л|13&||7|20.02.2020|476&||1808121-010`0`1`
1911055|ПУ00-000590|КЛ|отгружено|12.2.2020|р|249&||4|20.02.2020|2983&|З+ |1911055-590`5,92395833333336E-02`0,94`22.02.2020 5:08:25
1808008|ПУ00-000233|КЛ|отгружено|15.07.2020|л|256&||12|19.08.2020|30529&|З+     дорабатывать оборудование по факту |20.07.2020`18.09.2020
1706118|ПУ00-000009|КТ|отгружено|13.01.2020|о|5&||1|21.02.2020|101&||
Бандаж для дна|Отдел технолога\В работе\ЗАКАЗЫ без ERP\Бандаж для дна|ПР|отгружено|17.02.2020|р|0||1|22.02.2020|40|З+ |
Стеллаж для листового металла|Отдел технолога\В работе\ЗАКАЗЫ без ERP\Стеллаж для листового металла|ПР|отгружено|||1&||2|22.02.2020|1&|З+ |
1912088|ПУ00-000025|КТ|отгружено|23.01.2020|л|59&|?|4|24.02.2020|1184&|предварительная заявка для первой партии до 20.02.20(при условии выдачи РКД до 30.01.20), не получится, срок до 25.02
до 15.03.20 для второй партии, при условии выдачи ркд до 04.02.2020. получится. Примерный срок 17.02
|
1902023|ПУ00-000027|КТ|отгружено|27.01.2020|л|13&||16|25.02.2020|256&||
1607069|ПУ00-000016|КТ|отгружено|20.01.2020|р|8&||3|25.02.2020|169&||
1507029 - 1|ПУ00-000075|ПР|отгружено|25.02.2020|л|3&||1|26.02.2020|50&||
Бункер пескоструйный|Отдел технолога\В работе\ЗАКАЗЫ без ERP\Бункер пескоструйный|ПР|отгружено|20.02.2020|л|2&||1|27.02.2020|180&|З+|
1912088|ПУ00-000058|КТ|отгружено|10.02.2020|л|23||3|27.02.2020|472||
1806061|ПУ00-000026|КТ|отгружено|24.01.2020|л|11&||2|27.02.2020|230&||
1701035|ПУ00-000024|ПР|отгружено|23.01.2020|о|63&||9|27.02.2020|1048&|З+ |
1909116|ПУ00-000595|ГХТ|отгружено|22.01.2020|л|1034&||1|27.02.2020|48469,5&|З+По первому запуску прошу выполнить торцевые фаски у труб Ф325 (чертежа на них нет, торцевые фаски аналогично трубам Dу900). |
1911003|ПУ00-000004|КЛ|отгружено|17.2.2020|о|14&||1|27.02.2020|172&|З+ |
2001060|ПУ00-000031|ЛК|отгружено|28.01.2020|р|43&||1|28.02.2020|325&|З+ |
1403027|ПУ00-000070|КТ|отгружено|27.02.2020|о|9&||1|02.03.2020|180&|З+ |
1701035|ПУ00-000539|КТ|отгружено|02.12.2019|р|445||22|02.03.2020|9392||
2001001|ПУ00-000001|ПР3|отгружено|03.02.2020|л|1112&||3|09.03.2020|10890&|З+(келаст) По договору требуется изготовление трех разных видов изделий. Количество каждого вида различно.
В именах файлов .dxf указано кол-во заготовок, необходимое для изготовления одного изделия.
До массовой порезки заготовок для Лазов 540 рекомендуется собрать одно изделие целиком и при необходимости откорректировать файлы .dxf.
`Пост 12ПКК сообщить когда этот проект на сборку возьмем в работу.|
1910181|ПУ00-000017|ШГ|отгружено|24.01.2020||65||4|04.03.2020|650|З+ предварительная заявка|
1911123|ПУ00-000041|КЛ|отгружено|19.2.2020||8||1|05.03.2020|47|З+  Данный клапан должен уехать с газоходами Романова.|
1706129|ПУ00-000059|КТ|отгружено|10.02.2020||17&||2|06.03.2020|352&||
1911175|ПУ00-000048|КЛ|отгружено|17.2.2020||181||4|06.03.2020|7200|З+ |
1911055|ПУ00-000049|КЛ|отгружено|14.2.2020||38&||1|06.03.2020|460&|З+ |
1912010|ПУ00-000035|ЛК|отгружено|12.2.2020||174||3|09.03.2020|1796|З+ |
1604103|ПУ00-000039|КТ|отгружено|31.01.2020||9&||4|06.03.2020|184&||
1403252|ПУ00-000557|КТ|отгружено|09.12.2019||3&|?|8|06.03.2020|56&||
1907110|ПУ00-000081|ШГ|отгружено|12.03.2020||22,9||1|10.04.2020|298|З+ |
1908204|ПУ00-000032|ШГ|отгружено|4.2.2020||48||3|09.03.2020|285|З+ |
2003030|ПУ00-000087|ПР|отгружено|12.03.2020||0&||20|10.03.2020|0,001&|З+ Нужно вырезать 10 кругов диаметром 250 и 10 кругов на 140 из листа #2 мм|
1812044|ПУ00-000073|КТ|отгружено|25.02.2020||13,4||3|12.03.2020|1272||
1809095|ПУ00-000076|КТМ|отгружено|26.2.2020||174|?|24|10.03.2020|5254||
1908201|ПУ00-000057|КТ|отгружено|10.02.2020||32&||4|10.03.2020|638&||
1204113.3|ПУ00-000022|КТ|отгружено|23.01.2020||1||3|10.03.2020|24||
1606042|ПУ00-000021|КТ|отгружено|21.01.2020||0||5|10.03.2020|1|Необходимо 5 комплектов приварных фланцев
1 комплект - 2 штуки
Итого 10 фланцев по чертежу
у Михайлова ДХФ заведен 2 шт|
1907079|ПУ00-000079|КТ|отгружено|02.03.2020||0||1|16.03.2020|8||
1812109|ПУ00-000055|КТ|отгружено|07.02.2020||2&||2|14.03.2020|44&||
1507046|ПУ00-000036|КТМ|отгружено|31.01.2020||158||12|16.03.2020|4768||
1910200|ПУ00-000005|АО|отгружено|16.1.2020||171&||2|15.03.2020|2700&|З+   1шт.- 15.03.20,1шт.- 15.06.20|
1204118|ПУ00-000080|ЛК|отгружено|02.03.2020||206&||372|16.03.2020|1674&|З+(келаст) |
1912069|ПУ00-000030|КЛ|отгружено|18.3.2020||155||12|16.03.2020|2040|З+ |
1912069|ПУ00-000107|КЛ|отгружено|23.3.2020||16,7||1|16.03.2020|170|З+ |
1911051|ПУ00-000068|КТ|отгружено|14.02.2020||83||1|20.03.2020|1937|ПКК сообщить когда этот проект на сборку возьмем в работу.|
1911088|ПУ00-000596|КЛ|отгружено|09.01.2020||167&||4|16.03.2020|2000&|З+ ПРИОСТАНОВЛЕН|
1806086|ПУ00-000029|КЛ|отгружено|27.01.2020||886||10|20.03.2020|10628|З+ |
1903106|ПУ00-000102|КТ|отгружено|16.03.2020||16&||116|18.03.2020|7&|кольца|
1701004|ПУ00-000090|КТ|отгружено|10.03.2020||0,1&||1|20.03.2020|1&||
1701004|ПУ00-000089|КТ|отгружено|10.03.2020||0,1&|?|1|20.03.2020|1&||
1911140|ПУ00-000096|КТ|отгружено|12.03.2020||40||3|23.03.2020|928|поз 05 и 07 прошу выдать  в первую очередь|
2001030|ПУ00-000033|КЛ|отгружено|14.2.2020||57||2|20.03.2020|680|З+ |
1910040|ПУ00-000028|ЛК|отгружено|27.01.2020||170||6|23.03.2020|1158|З+ |
1911081|ПУ00-000019|КЛ|отгружено|04.02.2020||23||1|20.03.2020|350|З+ |
2001087|ПУ00-000099|КТ|отгружено|13.03.2020||1||16|24.03.2020|312||
1809095|ПУ00-000092|КТ|отгружено|10.03.2020||9||17|25.03.2020|472||
1907115|ПУ00-000091|КТ|отгружено|10.03.2020||5||3|25.03.2020|601||
Оснастка приварка сопел АО|Отдел технолога\В работе\ЗАКАЗЫ без ERP\Оснастка приварка сопел АО|ПР|отгружено|18.03.2020||0||1|26.03.2020|0|З+ |
1812044|ПУ00-000072|КТ|отгружено|25.02.2020||12&||1|26.03.2020|245&||
АР320КНС.1 - Доработка|Отдел технолога\В работе\ЗАКАЗЫ без ERP\АР320КНС.1 - Доработка|РТ|отгружено|16.03.2020||8&||4|25.03.2020|50&|З+ |
1908173|ПУ00-000094|КТ|отгружено|10.03.2020||66||29|27.03.2020|7272||
2001008|ПУ00-000060|КЛ|отгружено|28.2.2020||88||6|28.03.2020|666|З+ |
1604150|ПУ00-000100|КТ|отгружено|13.03.2020||8|?|11|30.03.2020|335||
1204118|ПУ00-000104|КТ|отгружено|16.03.2020||2|?|2|31.03.2020|346||
1604013|ПУ00-000126|ПР|отгружено|1.4.2020||4||12|06.04.2020|5|З+(келаст) |
1604013|ПУ00-000111|ПР|отгружено|20.03.2020||0||456|06.04.2020|0|З+(келаст) |
1610070|ПУ00-000098|ПР|отгружено|13.03.2020||2&|?|3|06.04.2020|54&|З+(келаст) |
2004040|ПУ00-000142|ПР|отгружено|9.4.2020||0&|?|1|09.04.2020|0&|З+ |
1812044|ПУ00-000105|КТ|отгружено|16.03.2020||10||2|09.04.2020|798||
2001001|ПУ00-000236|ПР3|к производству|03.02.2020|л|756||192|05.11.2020|10890|З+ ПКК сообщить когда этот проект на сборку возьмем в работу.|05.10.2020`11.12.2020
2010012|ПУ00-000323|ПР|отгружено|02.10.2020|н|||1|02.10.2020|17,7||
2006115|ПУ00-000237|КЛ|отгружено|25.08.2020|л|118&||8|10.09.2020|1760|З+ |25.09.2020`07.11.2020
1212083|ПУ00-000136|КТ|отгружено|07.04.2020||9,8||288|13.04.2020|153||
1911062|ПУ00-000135|ПР|отгружено|07.04.2020||0||29|13.04.2020|2|З+(келаст) |
2002104|ПУ00-000083|КЛ|отгружено|21.04.2020||36&||3|30.04.2020|540&|З+|
1905126|ПУ00-000499|ГХ|отгружено|05.11.2019|л|3840,5||9|30.04.2020|182710,9|З+(келаст) кирсанов 1905126 нет кд  + 93 смены на швы

543,2 кг. в час - лазер.`Пост 8|
2001031 |ПУ00-000112|КЛ|отгружено|29.04.2020|л|54&||4|12.05.2020|684&|З+ |
1906065|ПУ00-000166|КТ|отгружено|24.04.2020|л|331&||5|15.05.2020|12232&||
1904088|ПУ00-000125|ШГ|отгружено|31.03.2020|л|18&||2|15.05.2020|368&|З+ |
1909101|ПУ00-000084|ШГ|отгружено|09.04.2020|л|126&||12|15.05.2020|2740&|З+ |
1806027 |ПУ00-000113|КЛ|отгружено|15.04.2020|л|1027&||3|12.05.2020|15340&|З+ |
1906065|ПУ00-000163|ЛК|отгружено|21.04.2020|л|108,1||4|20.05.2020|1440|З+(келаст) |
